

Running new training session...
Logs from 2023-04-25

Epoch 1
-------------------------------
loss: 1.394658  [ 5680/11955]
loss: 1.281254  [ 5696/11955]
loss: 1.240633  [ 5712/11955]
loss: 1.443088  [ 5728/11955]
loss: 1.331798  [ 5744/11955]
loss: 1.356505  [ 5760/11955]
loss: 1.486555  [ 5776/11955]
loss: 1.368282  [ 5792/11955]
loss: 1.342864  [ 5808/11955]
loss: 1.413105  [ 5824/11955]
loss: 1.322067  [ 5840/11955]
loss: 1.403667  [ 5856/11955]
loss: 1.156615  [ 5872/11955]
loss: 1.358315  [ 5888/11955]
loss: 1.311901  [ 5904/11955]
loss: 1.330683  [ 5920/11955]
loss: 1.547681  [ 5936/11955]
loss: 1.235594  [ 5952/11955]
loss: 1.377313  [ 5968/11955]
loss: 1.331428  [ 5984/11955]
loss: 1.432700  [ 6000/11955]
loss: 1.368522  [ 6016/11955]
loss: 1.483145  [ 6032/11955]
loss: 1.391929  [ 6048/11955]
loss: 1.528800  [ 6064/11955]
loss: 1.202362  [ 6080/11955]
loss: 1.376147  [ 6096/11955]
loss: 1.461443  [ 6112/11955]
loss: 1.399881  [ 6128/11955]
loss: 1.304375  [ 6144/11955]
loss: 1.323596  [ 6160/11955]
loss: 1.293947  [ 6176/11955]
loss: 1.187106  [ 6192/11955]
loss: 1.334666  [ 6208/11955]
loss: 1.187166  [ 6224/11955]
loss: 1.243131  [ 6240/11955]
loss: 1.350983  [ 6256/11955]
loss: 1.309033  [ 6272/11955]
loss: 1.370342  [ 6288/11955]
loss: 1.315134  [ 6304/11955]
loss: 1.342364  [ 6320/11955]
loss: 1.330150  [ 6336/11955]
loss: 1.318404  [ 6352/11955]
loss: 1.366129  [ 6368/11955]
loss: 1.450094  [ 6384/11955]
loss: 1.382731  [ 6400/11955]
loss: 1.386283  [ 6416/11955]
loss: 1.364706  [ 6432/11955]
loss: 1.324634  [ 6448/11955]
loss: 1.415459  [ 6464/11955]
loss: 1.308079  [ 6480/11955]
loss: 1.315803  [ 6496/11955]
loss: 1.151726  [ 6512/11955]
loss: 1.293661  [ 6528/11955]
loss: 1.369817  [ 6544/11955]
loss: 1.395358  [ 6560/11955]
loss: 1.242381  [ 6576/11955]
loss: 1.369827  [ 6592/11955]
loss: 1.330325  [ 6608/11955]
loss: 1.370437  [ 6624/11955]
loss: 1.248940  [ 6640/11955]
loss: 1.307693  [ 6656/11955]
loss: 1.237476  [ 6672/11955]
loss: 1.242548  [ 6688/11955]
loss: 1.287736  [ 6704/11955]
loss: 1.372147  [ 6720/11955]
loss: 1.374396  [ 6736/11955]
loss: 1.443816  [ 6752/11955]
loss: 1.530481  [ 6768/11955]
loss: 1.457956  [ 6784/11955]
loss: 1.341775  [ 6800/11955]
loss: 1.412127  [ 6816/11955]
loss: 1.321587  [ 6832/11955]
loss: 1.589363  [ 6848/11955]
loss: 1.334237  [ 6864/11955]
loss: 1.391916  [ 6880/11955]
loss: 1.293371  [ 6896/11955]
loss: 1.317953  [ 6912/11955]
loss: 1.262260  [ 6928/11955]
loss: 1.333139  [ 6944/11955]
loss: 1.414340  [ 6960/11955]
loss: 1.167340  [ 6976/11955]
loss: 1.502971  [ 6992/11955]
loss: 1.370362  [ 7008/11955]
loss: 1.244025  [ 7024/11955]
loss: 1.276505  [ 7040/11955]
loss: 1.397113  [ 7056/11955]
loss: 1.401423  [ 7072/11955]
loss: 1.265055  [ 7088/11955]
loss: 1.265565  [ 7104/11955]
loss: 1.203727  [ 7120/11955]
loss: 1.408034  [ 7136/11955]
loss: 1.198519  [ 7152/11955]
loss: 1.401858  [ 7168/11955]
loss: 1.256462  [ 7184/11955]
loss: 1.271026  [ 7200/11955]
loss: 1.433388  [ 7216/11955]
loss: 1.364625  [ 7232/11955]
loss: 1.284779  [ 7248/11955]
loss: 1.326508  [ 7264/11955]
loss: 1.435873  [ 7280/11955]
loss: 1.366454  [ 7296/11955]
loss: 1.410187  [ 7312/11955]
loss: 1.383461  [ 7328/11955]
loss: 1.250182  [ 7344/11955]
loss: 1.307135  [ 7360/11955]
loss: 1.358781  [ 7376/11955]
loss: 1.393268  [ 7392/11955]
loss: 1.407897  [ 7408/11955]
loss: 1.338322  [ 7424/11955]
loss: 1.414925  [ 7440/11955]
loss: 1.344606  [ 7456/11955]
loss: 1.291468  [ 7472/11955]
loss: 1.413399  [ 7488/11955]
loss: 1.354012  [ 7504/11955]
loss: 1.303574  [ 7520/11955]
loss: 1.259618  [ 7536/11955]
loss: 1.304818  [ 7552/11955]
loss: 1.299887  [ 7568/11955]
loss: 1.327227  [ 7584/11955]
loss: 1.433370  [ 7600/11955]
loss: 1.318203  [ 7616/11955]
loss: 1.399668  [ 7632/11955]
loss: 1.374267  [ 7648/11955]
loss: 1.243341  [ 7664/11955]
loss: 1.132969  [ 7680/11955]
loss: 1.519350  [ 7696/11955]
loss: 1.258903  [ 7712/11955]
loss: 1.429475  [ 7728/11955]
loss: 1.607855  [ 7744/11955]
loss: 1.372929  [ 7760/11955]
loss: 1.210040  [ 7776/11955]
loss: 1.401064  [ 7792/11955]
loss: 1.484779  [ 7808/11955]
loss: 1.303204  [ 7824/11955]
loss: 1.215091  [ 7840/11955]
loss: 1.241682  [ 7856/11955]
loss: 1.330414  [ 7872/11955]
loss: 1.424694  [ 7888/11955]
loss: 1.358812  [ 7904/11955]
loss: 1.362933  [ 7920/11955]
loss: 1.297565  [ 7936/11955]
loss: 1.393248  [ 7952/11955]
loss: 1.265432  [ 7968/11955]
loss: 1.264497  [ 7984/11955]
loss: 1.438920  [ 8000/11955]
loss: 1.335623  [ 8016/11955]
loss: 1.742706  [ 8032/11955]
loss: 1.230255  [ 8048/11955]
loss: 1.177770  [ 8064/11955]
loss: 1.362148  [ 8080/11955]
loss: 1.271354  [ 8096/11955]
loss: 1.332463  [ 8112/11955]
loss: 1.463073  [ 8128/11955]
loss: 1.337867  [ 8144/11955]
loss: 1.410499  [ 8160/11955]
loss: 1.425549  [ 8176/11955]
loss: 1.283017  [ 8192/11955]
loss: 1.296790  [ 8208/11955]
loss: 1.411474  [ 8224/11955]
loss: 1.444566  [ 8240/11955]
loss: 1.204671  [ 8256/11955]
loss: 1.340634  [ 8272/11955]
loss: 1.260959  [ 8288/11955]
loss: 1.207329  [ 8304/11955]
loss: 1.361945  [ 8320/11955]
loss: 1.397429  [ 8336/11955]
loss: 1.445579  [ 8352/11955]
loss: 1.426138  [ 8368/11955]
loss: 1.360188  [ 8384/11955]
loss: 1.310746  [ 8400/11955]
loss: 1.264376  [ 8416/11955]
loss: 1.401181  [ 8432/11955]
loss: 1.393262  [ 8448/11955]
loss: 1.361783  [ 8464/11955]
loss: 1.392583  [ 8480/11955]
loss: 1.352297  [ 8496/11955]
loss: 1.438012  [ 8512/11955]
loss: 1.294415  [ 8528/11955]
loss: 1.399042  [ 8544/11955]
loss: 1.205012  [ 8560/11955]
loss: 1.227372  [ 8576/11955]
loss: 1.342312  [ 8592/11955]
loss: 1.257644  [ 8608/11955]
loss: 1.213049  [ 8624/11955]
loss: 1.281530  [ 8640/11955]
loss: 1.382223  [ 8656/11955]
loss: 1.209362  [ 8672/11955]
loss: 1.268737  [ 8688/11955]
loss: 1.384576  [ 8704/11955]
loss: 1.303027  [ 8720/11955]
loss: 1.370560  [ 8736/11955]
loss: 1.371549  [ 8752/11955]
loss: 1.165912  [ 8768/11955]
loss: 1.353605  [ 8784/11955]
loss: 1.428674  [ 8800/11955]
loss: 1.468187  [ 8816/11955]
loss: 1.239186  [ 8832/11955]
loss: 1.428538  [ 8848/11955]
loss: 1.262329  [ 8864/11955]
loss: 1.388440  [ 8880/11955]
loss: 1.261403  [ 8896/11955]
loss: 1.348627  [ 8912/11955]
loss: 1.433841  [ 8928/11955]
loss: 1.331700  [ 8944/11955]
loss: 1.277935  [ 8960/11955]
loss: 1.400751  [ 8976/11955]
loss: 1.269235  [ 8992/11955]
loss: 1.499165  [ 9008/11955]
loss: 1.197649  [ 9024/11955]
loss: 1.309253  [ 9040/11955]
loss: 1.272554  [ 9056/11955]
loss: 1.291402  [ 9072/11955]
loss: 1.513406  [ 9088/11955]
loss: 1.403322  [ 9104/11955]
loss: 1.320578  [ 9120/11955]
loss: 1.392643  [ 9136/11955]
loss: 1.329588  [ 9152/11955]
loss: 1.254417  [ 9168/11955]
loss: 1.400783  [ 9184/11955]
loss: 1.291689  [ 9200/11955]
loss: 1.218668  [ 9216/11955]
loss: 1.273590  [ 9232/11955]
loss: 1.375773  [ 9248/11955]
loss: 1.302724  [ 9264/11955]
loss: 1.174729  [ 9280/11955]
loss: 1.349616  [ 9296/11955]
loss: 1.463291  [ 9312/11955]
loss: 1.187174  [ 9328/11955]
loss: 1.269790  [ 9344/11955]
loss: 1.476898  [ 9360/11955]
loss: 1.625209  [ 9376/11955]
loss: 1.361254  [ 9392/11955]
loss: 1.313059  [ 9408/11955]
loss: 1.360692  [ 9424/11955]
loss: 1.366878  [ 9440/11955]
loss: 1.374391  [ 9456/11955]
loss: 1.479099  [ 9472/11955]
loss: 1.306295  [ 9488/11955]
loss: 1.329326  [ 9504/11955]
loss: 1.225206  [ 9520/11955]
loss: 1.363545  [ 9536/11955]
loss: 1.367501  [ 9552/11955]
loss: 1.274066  [ 9568/11955]
loss: 1.270857  [ 9584/11955]
loss: 1.253984  [ 9600/11955]
loss: 1.325813  [ 9616/11955]
loss: 1.390407  [ 9632/11955]
loss: 1.408112  [ 9648/11955]
loss: 1.362379  [ 9664/11955]
loss: 1.272549  [ 9680/11955]
loss: 1.220389  [ 9696/11955]
loss: 1.365524  [ 9712/11955]
loss: 1.416639  [ 9728/11955]
